testing: 12 threads
running ans_2opt_omp2
Working on ../as_1/dis_dir/test11.dis
OpenMP version of ans_2opt_sp11.c
* Balanced search space division/Proper/Partial distance compare/Copy when swapping
* OpenMP Distributed route/Free to swap/Contention pause
Using  12 threads
Distance @  0:30 = 616669794171.640015
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  0:30 = 616654324080.143677
Distance @  1:00 = 432539619433.585571
Distance @  1:00 = 432499662997.360962
Distance @  1:00 = 432499662997.360962
Distance @  1:00 = 432499662997.360962
Distance @  1:00 = 432499662997.360962
Distance @  1:00 = 432499662997.360962
Distance @  1:00 = 432499662997.360962
Distance @  1:00 = 432499662997.360962
Distance @  1:00 = 432499662997.360962
Distance @  1:00 = 432499662997.360962
Distance @  1:00 = 432499662997.360962
Distance @  1:00 = 432499662997.360962
Distance @  1:00 = 432499662997.360962
Distance @  1:00 = 432499662997.360962
Distance @  1:00 = 432499662997.360962
Distance @  1:00 = 432499662997.360962
Distance @  1:00 = 432499662997.360962
Distance @  1:00 = 432499662997.360962
Distance @  1:00 = 432499662997.360962
Distance @  1:00 = 432499662997.360962
Distance @  1:00 = 432499662997.360962
Distance @  1:00 = 432499662997.360962
Distance @  1:00 = 432499662997.360962
Distance @  1:00 = 432499662997.360962
Distance @  1:00 = 432499662997.360962
Distance @  1:00 = 432499662997.360962
Distance @  1:00 = 432499662997.360962
Distance @  1:00 = 432499662997.360962
Distance @  1:00 = 432499662997.360962
Distance @  1:00 = 432499662997.360962
Distance @  1:00 = 432499662997.360962
Distance @  1:00 = 432499632809.091064
Distance @  1:00 = 432499596109.421509
Distance @  1:00 = 432499596109.421509
Distance @  1:00 = 432499596109.421509
Distance @  1:00 = 432499596109.421509
Distance @  1:00 = 432499596109.421509
Distance @  1:00 = 432499596109.421509
Distance @  1:00 = 432499596109.421509
Distance @  1:00 = 432499596109.421509
Distance @  1:00 = 432499596109.421509
Distance @  1:00 = 432499596109.421509
